Coral,Dredge,Direction,Transect,Site,Habitat,Species,WPD,PM.norm,PM,Mortality.norm,Mortality,Bleaching.norm,Bleaching,Disease.norm,Disease,PB.norm,PB,Buried.norm,Buried,Comments,Oct.13,Nov.13,Dec.13,Jan.14,Feb.14,Mar.14,Apr.14,May.14,Jun.14,Jul.14,Aug.14,Sep.14,Oct.14,Nov.14,Dec.14,Jan.15,Feb.15,Mar.15,Jun.15,Jul.15
HBNC1-CP-1-1,control,N,1,1,1,DSTO,Susceptible,1,0,0,1,1,0,0,1,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DIS,NORM,DEAD,NORM,NORM
HBNC1-CP-1-2,control,N,1,1,1,SBOU,Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBNC1-CP-1-3,control,N,1,1,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBNC1-CP-1-4,control,N,1,1,1,SINT,Not Susceptible,1,0,1,0,1,0,1,0,1,0,0,1,MIS,NORM,NORM,NORM,NORM,NORM,BUR,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBNC1-CP-1-5,control,N,1,1,1,DSTO,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBNC1-CP-1-6,control,N,1,1,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBNC1-CP-2-1,control,N,2,1,1,SBOU,Susceptible,0,1,0,1,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,DEAD,NORM,NORM,NORM,NORM,NORM,NORM
HBNC1-CP-2-2,control,N,2,1,1,SBOU,Susceptible,1,0,0,1,1,0,1,0,1,0,1,0,MIS,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBNC1-CP-2-3,control,N,2,1,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBNC1-CP-3-1,control,N,3,1,1,SINT,Not Susceptible,1,0,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBNC1-CP-3-2,control,N,3,1,1,DSTO,Susceptible,1,0,0,1,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,DEAD,NORM
HBNC1-CP-3-3,control,N,3,1,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBNC1-CP-3-4,control,N,3,1,1,SINT,Not Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBNC1-CP-3-5,control,N,3,1,1,DSTO,Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-1-1,control,S,4,2,1,PAST,Not Susceptible,1,0,1,0,0,1,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,BLE,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-1-2,control,S,4,2,1,MCAV,Susceptible,1,0,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-1-3,control,S,4,2,1,SINT,Not Susceptible,1,0,1,0,0,1,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,BLE,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM
HBSC1-CP-1-4,control,S,4,2,1,MCAV,Susceptible,1,0,1,0,1,0,0,1,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DIS,NORM
HBSC1-CP-1-5,control,S,4,2,1,DSTO,Susceptible,1,0,0,1,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBSC1-CP-1-6,control,S,4,2,1,CNAT,,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM
HBSC1-CP-1-7,control,S,4,2,1,MCAV,Susceptible,1,0,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-1-8,control,S,4,2,1,MCAV,Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-1-9,control,S,4,2,1,MCAV,Susceptible,0,1,1,0,0,1,0,1,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,BLE,NORM,NORM,NORM,NORM,NORM,NORM,DIS,NORM
HBSC1-CP-1-10,control,S,4,2,1,SSID,Not Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-2-1,control,S,5,2,1,MCAV,Susceptible,1,0,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
