Coral,Bleaching,Disease,Buried,States
HBNC1-CP-1-1,0,1,0,1
HBNC1-CP-1-2,0,0,0,0
HBNC1-CP-1-3,0,0,0,0
HBNC1-CP-1-4,0,0,5,5
HBNC1-CP-1-5,0,0,0,0
HBNC1-CP-1-6,0,0,0,0
HBNC1-CP-2-1,0,0,0,0
HBNC1-CP-2-2,0,0,0,0
HBNC1-CP-2-3,0,0,0,0
HBNC1-CP-3-1,0,0,0,0
HBNC1-CP-3-2,0,0,0,0
HBNC1-CP-3-3,0,0,0,0
HBNC1-CP-3-4,0,0,0,0
HBNC1-CP-3-5,0,0,0,0
HBSC1-CP-1-1,3,0,0,3
HBSC1-CP-1-2,0,0,0,0
HBSC1-CP-1-3,3,0,0,3
HBSC1-CP-1-4,0,1,0,1
HBSC1-CP-1-5,0,0,0,0
HBSC1-CP-1-6,0,0,0,0
HBSC1-CP-1-7,0,0,0,0
HBSC1-CP-1-8,0,0,0,0
HBSC1-CP-1-9,3,1,0,4
HBSC1-CP-1-10,0,0,0,0
HBSC1-CP-2-1,0,0,0,0
HBSC1-CP-2-2,0,1,0,1
HBSC1-CP-2-3,0,0,0,0
HBSC1-CP-2-4,0,1,0,1
HBSC1-CP-2-5,0,1,0,1
HBSC1-CP-2-6,0,0,0,0
HBSC1-CP-2-7,0,0,0,0
HBSC1-CP-2-8,0,0,0,0
HBSC1-CP-2-9,0,1,0,1
HBSC1-CP-2-10,0,0,0,0
HBSC1-CP-3-1,0,0,0,0
HBSC1-CP-3-2,0,1,0,1
HBSC1-CP-3-3,0,0,0,0
HBSC1-CP-3-4,3,0,0,3
HBSC1-CP-3-5,0,0,0,0
HBSC1-CP-3-6,0,0,0,0
HBSC1-CP-3-7,0,0,0,0
HBSC1-CP-3-8,0,0,0,0
HBSC1-CP-3-9,0,0,0,0
HBSC1-CP-3-10,0,0,0,0
HBS1-CP-1-1,0,0,0,0
HBS1-CP-1-2,0,0,0,0
HBS1-CP-1-3,0,0,0,0
HBS1-CP-1-4,0,0,0,0
HBS1-CP-1-5,0,0,0,0
HBS1-CP-1-6,0,0,0,0
HBS1-CP-1-7,0,0,0,0
HBS1-CP-1-8,0,0,0,0
HBS1-CP-2-1,3,0,5,8
HBS1-CP-2-2,0,0,0,0
HBS1-CP-2-3,0,0,0,0
HBS1-CP-2-4,0,0,0,0
HBS1-CP-2-5,0,0,0,0
HBS1-CP-3-1,0,0,0,0
HBS1-CP-3-2,0,0,0,0
HBS1-CP-3-3,0,0,0,0
HBS1-CP-3-4,0,0,0,0
HBS1-CP-3-5,0,0,0,0
HBS2-CP-1-1,0,0,5,5
HBS2-CP-1-2,0,0,0,0
HBS2-CP-1-3,0,0,0,0
HBS2-CP-1-4,0,0,0,0
HBS2-CP-1-5,0,0,0,0
HBS2-CP-2-1,0,0,0,0
HBS2-CP-2-2,0,1,0,1
HBS2-CP-2-3,0,0,0,0
HBS2-CP-2-4,0,0,0,0
HBS2-CP-2-5,0,0,0,0
HBS2-CP-2-6,0,0,0,0
HBS2-CP-2-7,0,0,0,0
HBS2-CP-2-8,0,0,0,0
